Date,Alpine,Ararat,Ballarat,Banyule,Bass Coast,Baw Baw,Bayside,Benalla,Boroondara,Brimbank,Buloke,Campaspe,Cardinia,Casey,Central Goldfields,Colac Otway,Corangamite,Darebin,East Gippsland,Frankston,Gannawarra,Glen Eira,Glenelg,Golden Plains,Greater Bendigo,Greater Dandenong,Greater Geelong,Greater Shepparton,Hepburn,Hindmarsh,Hobsons Bay,Horsham,Hume,Indigo,Kingston,Knox,Latrobe,Loddon,Macedon Ranges,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee Valley,Moorabool,Moreland,Mornington Peninsula,Mount Alexander,Moyne,Murrindindi,Nillumbik,Northern Grampians,Port Phillip,Pyrenees,Queenscliffe,South Gippsland,Southern Grampians,Stonnington,Strathbogie,Surf Coast,Swan Hill,Towong,Wangaratta,Warrnambool,Wellington,West Wimmera,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra Ranges,Yarriambiack
01/07,1,5,11,98,4,5,35,3,76,131,0,5,22,110,1,0,1,58,1,41,2,61,1,1,10,27,67,14,2,0,25,3,177,0,34,23,9,3,9,34,3,34,16,103,64,5,16,11,54,73,3,115,63,6,1,2,28,3,51,0,0,5,2,103,2,9,4,0,2,5,12,1,26,65,1,75,42,26,1
02/07,1,5,11,99,4,5,36,3,76,142,0,5,22,113,1,0,1,60,1,41,2,60,1,1,10,28,68,14,2,0,26,3,185,0,34,23,9,3,9,35,3,35,16,112,71,5,16,11,55,80,3,115,63,6,1,2,28,3,52,0,0,5,2,104,2,9,4,0,2,5,12,1,28,67,1,81,44,27,1
03/07,1,5,11,99,4,5,36,3,76,147,0,5,22,114,1,0,1,60,2,41,2,60,1,1,10,28,68,14,2,0,26,3,205,0,35,23,9,3,9,36,3,37,16,117,75,5,17,11,55,86,3,120,63,6,1,2,28,3,52,0,0,5,2,105,2,9,4,0,2,5,12,1,28,71,1,88,46,27,1
04/07,1,5,11,99,4,5,36,3,78,152,0,5,22,117,1,0,1,64,2,42,2,60,1,1,10,28,68,15,2,0,32,3,213,0,35,23,9,3,9,39,3,41,17,129,76,5,17,11,56,97,3,123,63,6,1,2,28,3,55,0,0,5,2,105,2,9,4,0,2,5,12,1,30,78,1,107,47,27,1
05/07,1,5,11,99,4,5,36,3,78,161,0,5,22,120,1,0,1,67,2,42,2,60,1,2,10,28,68,15,2,0,32,3,223,0,35,24,9,3,9,39,3,44,17,137,77,5,18,11,57,104,3,125,63,6,1,2,28,3,56,0,0,5,2,105,2,9,4,0,2,5,12,1,30,82,1,122,49,27,1
06/07,1,5,11,99,4,5,36,3,81,168,0,5,22,120,1,0,1,70,2,42,2,60,1,1,10,28,68,15,2,0,35,3,245,0,35,26,9,3,9,39,3,45,19,169,81,5,20,11,57,110,3,127,63,6,1,2,28,3,57,0,0,5,2,105,2,9,4,0,2,5,12,1,30,84,2,148,50,28,1
07/07,1,5,11,104,4,5,37,3,83,186,0,5,22,125,1,0,1,72,2,42,2,60,1,1,10,29,70,15,2,0,39,3,276,0,35,27,9,3,9,41,3,50,19,185,85,5,19,11,62,120,3,136,64,6,1,2,28,3,60,0,0,5,2,106,2,9,4,0,2,5,12,1,32,89,2,171,56,28,1
08/07,1,5,11,108,4,5,37,3,83,189,0,5,22,129,1,0,1,70,2,43,2,61,1,1,10,30,70,15,2,0,41,3,284,0,36,27,9,3,9,44,3,54,19,199,88,5,20,11,66,134,3,143,63,6,1,2,28,3,59,0,0,5,2,110,2,10,4,0,2,5,12,1,34,95,2,189,57,30,1
09/07,1,5,11,110,4,5,38,3,84,197,0,5,22,132,1,0,1,77,2,44,2,62,1,1,13,30,74,15,2,0,40,3,299,0,37,27,9,3,9,44,3,61,20,221,91,5,20,11,66,160,3,157,63,6,1,2,28,3,60,0,0,5,2,113,2,10,4,0,2,5,12,1,35,102,2,211,62,30,1
10/07,1,5,11,116,4,6,39,3,87,211,0,5,23,133,1,0,1,84,2,43,2,63,1,1,12,30,73,15,2,0,47,3,331,0,38,27,9,3,9,49,3,64,20,318,96,5,23,11,70,198,3,166,64,6,1,2,28,3,62,0,0,6,2,114,2,10,4,0,2,5,12,1,43,108,1,234,66,30,1
